,1,2,3,Page Level 4,Page Layout,Existing / Additional Page ?,Inspiration / Current URL (if existing page),Who should write the content?,Notes,Target Keyword,Search Volume,KW Density ,+KWs,Old H1,New Header (H1),Old Title,New Title,Chars (50-65),URL,Old Metas,New Meta Description,Chars (130-160),Type of Content ,Notes,"Original URL 
(if rewritten) ",Document Link,Date Published ,New URL ,Notes,PSD,Des. URL,Notes,Dev. URL,map_id,map_data,meta_tag,H1_tag,Extracted Text,Meta_Link,H1_Link,H1_id,H1_com,Meta_id,Meta_com,H1_Updated_DB,Meta_Updated_DB
1,Home,,,,,Existing Page,https://guardiandigital.com/,,,,,,,Guardian Digital Makes Email Safe For Business,,"Guardian Digital Makes Email Safe For Business - Microsoft 365, Goo....","Makes Email Safe For Business: Microsoft 365, Google Workspace and More!",72,https://guardiandigital.com/,Guardian Digital offers threat-ready business cloud email security services with unparalleled support. Our AI powered product monitors & protects from email thr,Guardian Digital has developed unparalleled AI-powered business cloud email security services. Secure your business emails and stay threat-ready today.,151,,,,,,,,,,,,3,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,False,home,index.php?option=com_menu&view=metadescription&id=101,,,,101,w5zxq_menu,False,True
2,,Email Security Solutions,,,Solutions,Existing Page,https://guardiandigital.com/solutions,,,Email Security Solutions,,,,Email Security Solution - AI Powered Email Protection,Email Security Solution,Email Security Solutions - AI Powered Email Protection | Guardian D....,Email Security Solution - AI Powered Email Protection,53,https://guardiandigital.com/solutions,"Guardian Digital provides AI powered email security solution protecting data, brand & people. Email threat protection from todays as well as future threats.",Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn more about our email security solutions here.,146,,,,,,,,,,,,4,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,solutions,index.php?option=com_menu&view=metadescription&id=119,index.php?option=com_sppagebuilder&view=page&id=88,88,w5zxq_sppagebuilder,119,w5zxq_menu,False,True
3,,,Email Security for Small & Medium Business,,Solutions,Existing Page,https://guardiandigital.com/solutions/by-size/small-medium-business-email-protection,,,Email Security for Small & Medium Business,,,,Small & Medium Business Email Protection,Email Security for Small & Medium Business - Guardian Digital,Email Security for Small & Medium Business - Guardian Digital.,Email Security for Small & Medium Business,42,https://guardiandigital.com/solutions/by-size/small-medium-business-email-protection,"he majority of email attacks don't discriminate. Cyber criminals can spot weaknesses that are common among small- and medium-sized businesses like yours, and wi",Guardian Digital has developed AI-powered business cloud email security services. Learn about our email security solutions for small & medium businesses,152,,,,,,,,,,,,5,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,small-medium-business-email-protection,index.php?option=com_menu&view=metadescription&id=944,index.php?option=com_sppagebuilder&view=page&id=28,28,w5zxq_sppagebuilder,944,w5zxq_menu,False,True
4,,Cloud Email Security,,,Solutions,Existing Page,https://guardiandigital.com/cloud-email-security,,,Cloud Email Security,,,,Cloud Email Security - AI Powered Email Security Services,Cloud Email Security - Guardian Digital,Cloud Email Security - AI Powered Email Security Services - Guardia....,Cloud Email Security - AI Powered Email Security Services,57,https://guardiandigital.com/cloud-email-security,Guardian Digital is offering Email Security Solution on Cloud. Protect your company & employees from potential threats coming through emails. Contact us today.,Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn more about our cloud email security services here.,151,,,,,,,,,,,,6,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,cloud-email-security,index.php?option=com_menu&view=metadescription&id=222,index.php?option=com_sppagebuilder&view=page&id=29,29,w5zxq_sppagebuilder,222,w5zxq_menu,False,True
5,,,EnGarde Cloud Email Security Dashboard,,Solutions,Existing Page,https://guardiandigital.com/solutions/cloud-email-security/engarde-cloud-email-security-dashboard,,,EnGarde Cloud Email Security Dashboard,,,,EnGarde Cloud Email Security Real-Time Dashboard,EnGarde Cloud Email Security Dashboard - Guardian Digital,EnGarde Cloud Email Security Dashboard .,EnGarde Cloud Email Security Dashboard,38,https://guardiandigital.com/solutions/cloud-email-security/engarde-cloud-email-security-dashboard,Intuitive Dashboard Offers Complete Visibility into the Security of Your Email and the Threats Targeting Your Organization,Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn about our EnGarde Cloud Email Security Dashboard here.,155,,,,,,,,,,,,7,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,engarde-cloud-email-security-dashboard,index.php?option=com_menu&view=metadescription&id=943,index.php?option=com_sppagebuilder&view=page&id=27,27,w5zxq_sppagebuilder,943,w5zxq_menu,False,True
6,,,Advanced Email Threat Protection,,Solutions,Existing Page,https://guardiandigital.com/advanced-threat-protection,,,Advanced Email Threat Protection,,,,Email Threat Protection - Protect Your Business & Brand,Advanced Email Threat Protection - Guardian Digital,Advanced Email Threat Protection - Prevent Phishing Attacks | Gua.,Advanced Email Threat Protection - For Your Business & Brand,60,https://guardiandigital.com/advanced-threat-protection,Advanced Threat Protection Page,Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn about our Advanced Email Threat Protection here.,149,,,,,,,,,,,,8,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,advanced-threat-protection,index.php?option=com_menu&view=metadescription&id=137,index.php?option=com_sppagebuilder&view=page&id=92,92,w5zxq_sppagebuilder,137,w5zxq_menu,False,True
7,,,,Enhanced Email Security,Solutions,Existing Page,https://guardiandigital.com/advanced-threat-protection/enhanced-email-security,,,Enhanced Email Security,,,Enhanced Email Security - Guardian Digital - Guardian Digital,Enhanced Email Security,Enhanced Email Security - Guardian Digital,Enhanced Email Security.,Advanced Email Threat Protection - Enhanced Email Security ,59,https://guardiandigital.com/advanced-threat-protection/enhanced-email-security,"Phishing scams cost American businesses half a billion dollars a year. No business is immune from Business Email Compromise and attempts by criminal groups to compromise legitimate business email accounts, it seems.",Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn about our Enhanced Email Security here.,140,,,,,,,,,,,,9,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,enhanced-email-security,index.php?option=com_menu&view=metadescription&id=369,index.php?option=com_sppagebuilder&view=page&id=94,94,w5zxq_sppagebuilder,369,w5zxq_menu,True,True
8,,,,Spam Email Protection,Solutions,Existing Page,https://guardiandigital.com/advanced-threat-protection/spam-protection-measures,,,Spam Email Protection,,,,Spam Protection Measures,Spam Email Protection - Guardian Digital,"Spam Email Protection, Security Protection for Businesses.",Spam Email Protection - Guardian Digital ,41,https://guardiandigital.com/advanced-threat-protection/spam-protection-measures,Guardian Digital has combined highly effective spam filtering methods with its advanced machine learning technology to deliver over 99.8% protection.,Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn about our Spam Email Protection here,137,,,,,,,,,,,,10,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,spam-protection-measures,index.php?option=com_menu&view=metadescription&id=370,index.php?option=com_sppagebuilder&view=page&id=93,93,w5zxq_sppagebuilder,370,w5zxq_menu,False,True
9,,,Multi-Layered Business Email Security & Protection,,Solutions,Existing Page,https://guardiandigital.com/multi-tiered-security-policy-controls,,,Multi-Layered Business Email Security & Protection,,,,Multi-Layered Security & Policy Controls,Multi-Layered Business Email Security & Protection - Guardian Digital,Multi-Layered Business Email Security & Protection.,Multi-Layered Business Email Security & Protection,50,https://guardiandigital.com/multi-tiered-security-policy-controls,Guardian Digital EnGarde Email Security Gateway scans all emails sent to or from your mail server using multiple layers of analysis to detect threats including spear-phishing and other targeted email attacks.,Guardian Digital has developed comprehensive business cloud email security services. Learn about our Multi-Layered Business Email Security & Protection,151,,,,,,,,,,,,11,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,multi-tiered-security-policy-controls,index.php?option=com_menu&view=metadescription&id=138,index.php?option=com_sppagebuilder&view=page&id=95,95,w5zxq_sppagebuilder,138,w5zxq_menu,False,True
10,,,Digital Email Incident Response,,Solutions,Existing Page,https://guardiandigital.com/incident-response,,,Digital Email Incident Response,,,,Guardian Digital Email Incident Response,Digital Email Incident Response - Guardian Digital,Incident Response.,Digital Email Incident Response,31,https://guardiandigital.com/incident-response,"While organizations can significantly decrease the risk of suffering a cyberattack by implementing an effective email security strategy, no strategy or solution is 100 percent effective and attacks may occasionally get through","Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn about our Digital Email Incident Response here.""",149,,,,,,,,,,,,12,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,incident-response,index.php?option=com_menu&view=metadescription&id=678,index.php?option=com_sppagebuilder&view=page&id=96,96,w5zxq_sppagebuilder,678,w5zxq_menu,False,True
